번호,소속지회,경로당명,주소,위도,경도
1417,수성구지회,새마을경로당,대구광역시 수성구 무학로31길 23 ,35.831488536,128.626441412
1418,수성구지회,지산무학경로당,대구광역시 수성구 청수로38길 53-11 ,35.836540625,128.628524589
1419,수성구지회,청산맨션경로당,대구광역시 수성구 지범로21길 15 ,35.825510861,128.635301174
1420,수성구지회,지산타운경로당,대구광역시 수성구 용학로 303 ,35.823311928,128.640837282
1421,수성구지회,지산서한이다음아파트경로당,대구광역시 수성구 용학로 313 ,35.823568634,128.641234358
1422,수성구지회,녹원맨션경로당,대구광역시 수성구 무학로 189 ,35.831185336,128.629601451
1423,수성구지회,동서맨션경로당,대구광역시 수성구 지산로 56 ,35.825867958,128.634410160
1424,수성구지회,청구타운경로당,대구광역시 수성구 지산로 48 ,35.825275023,128.634227043
1425,수성구지회,시영5단지복지관경로당,대구광역시 수성구 용학로 325 ,35.824078384,128.642454309
1426,수성구지회,동서무학맨션경로당,대구광역시 수성구 지산로14길 83 ,35.826629007,128.638204945
1427,수성구지회,보성맨션경로당,대구광역시 수성구 지범로21길 3 ,35.823977265,128.635717588
1428,수성구지회,거성경로당,대구광역시 수성구 용학로48길 25-1 ,35.819153272,128.635217375
1429,수성구지회,지산2동경로당,대구광역시 수성구 용학로33길 17-16 ,35.823719454,128.627597268
1430,수성구지회,지산목련아파트경로당,대구광역시 수성구 용학로42길 13 ,35.820510387,128.631725405
1431,수성구지회,호반송학경로당,대구광역시 수성구 용학로46길 40 ,35.819005794,128.632995141
1432,수성구지회,지산우방타운경로당,대구광역시 수성구 지산로 32 ,35.823820013,128.632940536
1433,수성구지회,현대맨션경로당,대구광역시 수성구 지범로22길 20 ,35.820921641,128.634175469
1434,수성구지회,지산리더스경로당,대구광역시 수성구 지산로 5 ,35.821772276,128.631124112
1435,수성구지회,한라타운경로당,대구광역시 수성구 지범로22길 9 ,35.822094966,128.637513395
1436,수성구지회,화성맨션경로당,대구광역시 수성구 용학로35길 62 ,35.825205531,128.630286632
1437,수성구지회,영남맨션경로당,대구광역시 수성구 지산로 31 ,35.824855214,128.631737882
1438,수성구지회,지산에덴경로당,대구광역시 수성구 용학로 223 ,35.821141590,128.633477328
1439,수성구지회,협화맨션경로당,대구광역시 수성구 지범로22길 23 ,35.820798267,128.635680246
1440,수성구지회,대우로얄하이츠경로당,대구광역시 수성구 용학로36길 20 ,35.821271238,128.627444424
1441,수성구지회,지산보성경로당,대구광역시 수성구 지범로22길 10 ,35.822595486,128.634953217
1442,수성구지회,범물경로당,대구광역시 수성구 범안로16길 46 ,35.816187366,128.647157397
1443,수성구지회,용지2단지복지관경로당,대구광역시 수성구 범안로 79 ,35.819812742,128.646545587
1444,수성구지회,범물용지아파트경로당,대구광역시 수성구 범안로 77 ,35.819023263,128.645641736
1445,수성구지회,범물하이츠경로당,대구광역시 수성구 용학로 336 ,35.824883374,128.644055420
1446,수성구지회,보성타운경로당,대구광역시 수성구 지범로39길 56 ,35.821253988,128.643631138
1447,수성구지회,범물보성맨션경로당,대구광역시 수성구 용학로 316 ,35.822392013,128.642439062
1448,수성구지회,범물청구타운경로당,대구광역시 수성구 지범로39길 12 ,35.820565396,128.643211285
1449,수성구지회,범물영남타운경로당,대구광역시 수성구 용학로 316 ,35.822392013,128.642439062
1450,수성구지회,범물공원경로당,대구광역시 수성구 지범로 232 ,35.818406136,128.643358055
1451,수성구지회,범물2동경로당,대구광역시 수성구 지범로48길 14-1 ,35.815978595,128.643621272
1452,수성구지회,범물맨션경로당,대구광역시 수성구 용학로 272 ,35.820173841,128.637530080
1453,수성구지회,서한화성경로당,대구광역시 수성구 지범로40길 11 ,35.818376568,128.641250484
1454,수성구지회,청아맨션경로당,대구광역시 수성구 범안로 40 ,35.817286106,128.642287580
1455,수성구지회,신화맨션경로당,대구광역시 수성구 지범로40길 6 ,35.818533745,128.640086770
1456,수성구지회,범물동서경로당,대구광역시 수성구 범안로 40 ,35.817286106,128.642287580
1457,수성구지회,삼주타운경로당,대구광역시 수성구 범안로8길 35 ,35.815184004,128.641780225
1458,수성구지회,에덴타운경로당,대구광역시 수성구 지범로40길 6 ,35.818533745,128.640086770
1459,수성구지회,보성송정타운경로당,대구광역시 수성구 지범로46길 43 ,35.813987022,128.642935165
1460,수성구지회,두성타운경로당,대구광역시 수성구 지범로 300 ,35.814755429,128.649081274
1461,수성구지회,우방미진하이츠경로당,대구광역시 수성구 지범로 290 ,35.814539351,128.647407997
1462,수성구지회,청림맨션경로당,대구광역시 수성구 지범로54길 15 ,35.814488209,128.646327084
1463,수성구지회,범물인앤인아파트경로당,대구광역시 수성구 지범로52길 69 ,35.814029240,128.644100971
1464,수성구지회,수성하늘채르레브경로당,대구광역시 수성구 지범로48길 21 ,35.815059162,128.644252808
1465,수성구지회,신매경로당,대구광역시 수성구 욱수천로 78 ,35.835097873,128.712108735
1466,수성구지회,욱수경로당,대구광역시 수성구 욱수천로 15 ,35.829984641,128.709794168
1467,수성구지회,신매공원경로당,대구광역시 수성구 달구벌대로650길 59-6 ,35.832906108,128.709082198
1468,수성구지회,천마타운경로당,대구광역시 수성구 신매로 71 ,35.835434774,128.708093454
1469,수성구지회,태성맨션경로당,대구광역시 수성구 고산로 50 ,35.835630462,128.704963206
1470,수성구지회,에덴맨션경로당,대구광역시 수성구 고산로12길 34 ,35.833902399,128.705995220
1471,수성구지회,"대백,신화,창신아파트경로당",대구광역시 수성구 고산로 90 ,35.837676681,128.704417458
1472,수성구지회,시지두성타운경로당,대구광역시 수성구 고산로 30 ,35.832954950,128.704582587
1473,수성구지회,"삼주,한라,협화아파트경로당",대구광역시 수성구 신매로 91 ,35.837509964,128.708188091
1474,수성구지회,시지보성서한아파트경로당,대구광역시 수성구 신매로 21 ,35.831237722,128.706809424
1475,수성구지회,시지청솔타운경로당,대구광역시 수성구 고산로 70 ,35.836117466,128.704770876
1476,수성구지회,시지동서타운경로당,대구광역시 수성구 신매로 41 ,35.833781527,128.707500147
1477,수성구지회,신화빌라트경로당,대구광역시 수성구 달구벌대로650길 29 ,35.836032295,128.710107324
1478,수성구지회,태왕5차월드하이츠경로당,대구광역시 수성구 욱수천로 7 ,35.829060299,128.708901134
1479,수성구지회,시지태왕3차하이츠경로당,대구광역시 수성구 욱수천로 77 ,35.834762542,128.710945124
1480,수성구지회,태왕레전드경로당,대구광역시 수성구 욱수천로 27 ,35.831164258,128.710236179
1481,수성구지회,사월화성파크드림 2단지경로당,대구광역시 수성구 달구벌대로 3304-1 ,35.835249251,128.715809585
1482,수성구지회,사월화성파크드림 3단지경로당,대구광역시 수성구 달구벌대로 3304-2 ,35.834691653,128.714220337
1483,수성구지회,시지효성백년가약 1단지경로당,대구광역시 수성구 달구벌대로 3280 ,35.836533728,128.715131476
1484,수성구지회,시지효성백년가약 2단지경로당,대구광역시 수성구 달구벌대로 3280-1 ,35.835432528,128.714879530
