,EMD_CD,EMD_KOR_NM,주유소,과학·기술,교육,보건의료,부동산,소매,수리·개인,숙박,시설관리·임대,예술·스포츠,음식,상업수
191,27290122,송현동,4,133.0,56.0,12.0,63.0,425.0,338.0,3.0,80.0,80.0,513.0,1703.0
192,27290123,대곡동,3,44.0,33.0,4.0,32.0,97.0,100.0,1.0,19.0,32.0,231.0,593.0
193,27290124,본동,3,46.0,9.0,2.0,30.0,105.0,82.0,4.0,26.0,26.0,170.0,500.0
194,27290125,호산동,1,24.0,7.0,2.0,24.0,91.0,56.0,32.0,17.0,42.0,281.0,576.0
195,27710250,화원읍,15,62.0,55.0,15.0,52.0,417.0,221.0,3.0,45.0,74.0,451.0,1395.0
196,27710253,논공읍,22,42.0,8.0,5.0,43.0,276.0,141.0,9.0,55.0,52.0,318.0,949.0
197,27710256,다사읍,13,97.0,160.0,24.0,74.0,435.0,284.0,4.0,44.0,121.0,797.0,2040.0
198,27710259,유가읍,1,56.0,77.0,17.0,32.0,162.0,98.0,4.0,13.0,51.0,422.0,932.0
199,27710262,옥포읍,17,30.0,35.0,6.0,36.0,165.0,86.0,10.0,19.0,31.0,247.0,665.0
200,27710265,현풍읍,25,48.0,33.0,7.0,58.0,310.0,192.0,9.0,52.0,47.0,508.0,1264.0
201,27710310,가창면,7,28.0,7.0,3.0,22.0,85.0,21.0,15.0,10.0,14.0,168.0,373.0
202,27710330,하빈면,3,8.0,3.0,0.0,16.0,57.0,15.0,3.0,13.0,3.0,57.0,175.0
203,27710380,구지면,3,17.0,32.0,5.0,42.0,103.0,68.0,8.0,18.0,25.0,290.0,608.0
204,27720250,군위읍,16,55.0,15.0,1.0,29.0,160.0,57.0,5.0,17.0,16.0,162.0,517.0
205,27720310,소보면,1,5.0,1.0,0.0,6.0,18.0,5.0,2.0,0.0,4.0,27.0,68.0
206,27720320,효령면,4,5.0,2.0,0.0,5.0,41.0,16.0,8.0,2.0,1.0,44.0,124.0
207,27720330,부계면,3,3.0,2.0,0.0,11.0,35.0,6.0,27.0,1.0,4.0,76.0,165.0
208,27720340,우보면,2,3.0,0.0,0.0,2.0,17.0,5.0,1.0,1.0,1.0,18.0,48.0
209,27720350,의흥면,4,1.0,0.0,0.0,3.0,30.0,9.0,2.0,0.0,2.0,37.0,84.0
210,27720360,산성면,3,2.0,0.0,0.0,0.0,16.0,3.0,2.0,1.0,2.0,20.0,46.0
211,27720370,삼국유사면,2,1.0,1.0,0.0,0.0,7.0,0.0,8.0,2.0,0.0,15.0,34.0
